codigo_amie,nombre,estudiantes_2024_2025,docentes_2024_2025,inicial,egb,bachillerato,latitud,longitud,fuente_coordenada,confianza_coordenada,estado_revision,osm_type,osm_id,nombre_osm,oferta_resumida
05B00061,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA SAN JAVIER,1,1,0,1,0,-0.8870085999999999,-78.91666860892542,,alta,,way,1029346262,Centro Educativo de Educación San Javier,EGB
05B00045,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA SERGIO NUÑEZ,63,9,0,1,0,-0.9982328,-78.8695005,,alta,,node,9490090885,Centro Educativo CIB de Educación Básica Sergio Nuñez,EGB
05B00046,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA ATAHUALPA,5,1,0,1,0,-0.9515597499999999,-78.86704479498249,,alta,,way,1029346253,Centro Educativo CIB de Educación Básica Atahualpa,EGB
05B00058,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA BENJAMIN CARRION,5,1,0,1,0,-0.8894525,-78.94582064185411,,alta,,way,1029346265,Centro Educativo de Educación Básica Benjamin Carrion,EGB
05B00057,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA DOLORES CACUANGO,7,2,0,1,0,-0.92797425,-78.91989051215984,,alta,,way,1029346258,Centro Educativo de Educación Básica Dolores Cacuango,EGB
05B00051,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA FERNANDO DAQUILEMA,11,1,0,1,0,-0.913814,-78.9341766,,alta,,node,9490112923,Centro Educativo de Educación Básica Fernando Daquilema,EGB
05B00052,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA RAFAEL VINCES,14,1,0,1,0,-0.9362625,-78.93710191672574,,alta,,way,1029346256,Centro Educativo de Educación Básica Rafael Vinces,EGB
05B00060,CENTRO EDUCATIVO COMUNITARIO INTERCULTURAL BILINGÜE DE EDUCACION BASICA NELSON TORRES ARROYO,17,2,0,1,0,-0.89881565,-78.95851275456852,,alta,,way,1029346264,Centro Educativo de Educación Básica Nelson Torres Arroyo,EGB
05H00584,ESCUELA DE EDUCACION BASICA RAFAEL MARIA QUINTANA ESPINOSA,54,9,0,1,0,-0.9794252999999999,-78.88542739183654,,alta,,way,1029346255,Escuela De Educación Básica Rafael Maria Quintana Espinoza,EGB
05H00576,ESCUELA DE EDUCACION BASICA BEATRIZ JIMENEZ BAQUERO,5,1,0,1,0,-0.9472836,-78.8555744,,alta,,node,9490090871,Escuela De Educación Básica Beatriz Jimenez Baquero,EGB
05H00585,ESCUELA DE EDUCACION BASICA CABO MINACHO,5,2,0,1,0,-0.96973855,-78.8396001929612,,alta,,way,1029346254,Centro Educativo de Educación Básica Cabo Minacho,EGB
05H00586,ESCUELA DE EDUCACION BASICA GUILLERMO ARROYO GRANDES,5,1,0,1,0,-0.8850589,-78.8952416,,alta,,node,9490112930,Escuela De Educación Básica Guillermo Arroyo Grandes,EGB
05H00587,ESCUELA DE EDUCACION BASICA AURELIO DAVILA CAJAS,27,3,0,1,0,-0.89460775,-78.9176770190398,,alta,,way,1029346261,Escuela De Educación Básica Aurelio Davila Cajas,EGB
05H00582,ESCUELA DE EDUCACION BASICA ZUMBAHUA,21,2,0,1,0,-0.9261184,-78.94239278082858,,alta,,way,1029346257,Escuela De Educación Básica Zumbahua,EGB
05H00574,UNIDAD EDUCATIVA DEL MILENIO CACIQUE TUMBALA,567,43,1,1,1,-0.9630533,-78.89796292978329,,alta,,way,361626424,Unidad Educativa del Milenio Cacique Tumbala,Inicial + EGB + Bachillerato
05B00064,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE DON BOSCO,180,28,1,1,1,-0.9610675,-78.89717954384884,,alta,,way,361626426,Instituto Tecnico Don Bosco,Inicial + EGB + Bachillerato
05B00047,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE 24 DE OCTUBRE,80,16,1,1,1,-0.9202813,-78.9171907731132,,alta,,way,1029346259,Colegio Bilingue 24 de Octubre,Inicial + EGB + Bachillerato
05B00050,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE SARAUGSHA,79,15,1,1,1,-0.9461867,-78.9124668,,alta,,node,9490090893,Centro Educativo de Educación Básica Saraugsha,Inicial + EGB + Bachillerato
05B00114,UNIDAD EDUCATIVA COMUNITARIA INTERCULTURAL BILINGÜE JATARI UNANCHA,1156,68,0,1,1,-0.9606171,-78.89726161716891,,media,,way,361626422,Colegio Jatary Amancha,EGB + Bachillerato
