periodo,instituciones,estudiantes,docentes
2009-2010 Inicio,35,6082.0,252.0
2010-2011 Inicio,31,6269.0,285.0
2011-2012 Inicio,30,6158.0,279.0
2012-2013 Inicio,30,5853.0,294.0
2013-2014 Inicio,28,6031.0,279.0
2014-2015 Inicio,25,3865.0,274.0
2015-2016 Inicio,20,5446.0,253.0
2016-2017 Inicio,20,4980.0,236.0
2017-2018 Inicio,20,4717.0,226.0
2018-2019 Inicio,19,4184.0,218.0
2019-2020 Inicio,19,3837.0,223.0
2020-2021 Inicio,19,3797.0,205.0
2021-2022 Inicio,19,3403.0,202.0
2022-2023 Inicio,19,1563.298,204.0
2023-2024 Inicio,19,2573.0,207.0
2024-2025 Inicio,19,2302.0,206.0
